id,name,latitude,longitude
1,Australia,-25.2744,133.7751
2,Bahrain,26.0667,50.5577
3,India,20.5937,78.9629
4,Indonesia,-0.7893,113.9213
5,Jordan,31.9632,35.9306
6,Iraq,33.2232,43.6793
7,Iran,32.4279,53.6880
8,Yemen,15.5527,48.5164
9,Kazakhstan,48.0196,66.9237
10,Qatar,25.3548,51.1839
11,Kuwait,29.3759,47.9774
12,Lebanon,33.8547,35.8623
13,United Arab Emirates,23.4241,53.8478
14,Palestine,31.9474,35.2272
15,Saudi Arabia,23.8859,45.0792
16,Sudan,12.8628,30.2176
17,Thailand,15.8700,100.9925
18,Turkey,38.9637,35.2433
19,South Korea,35.9078,127.7669
20,Japan,36.2048,138.2529
21,Austria,47.5162,14.5501
22,Armenia,40.0691,45.0382
23,Belgium,50.8503,4.3517
24,Bulgaria,42.7339,25.4858
25,United Kingdom,55.3781,-3.4360
26,Hungary,47.1625,19.5033
27,Guatemala,15.7835,-90.2308
28,Germany,51.1657,10.4515
29,Greece,39.0742,21.8243
30,Denmark,56.2639,9.5018
31,Ireland,53.1424,-7.6921
32,Iceland,64.9631,-19.0208
33,Spain,40.4637,-3.7492
34,Italy,41.8719,12.5674
35,Cyprus,35.1264,33.4299
36,Latvia,56.8796,24.6032
37,Lithuania,55.1694,23.8813
38,North Macedonia,41.6086,21.7453
39,Moldova,47.4116,28.3699
40,Netherlands,52.1326,5.2913
41,Norway,60.4720,8.4689
42,Poland,51.9194,19.1451
43,Portugal,39.3999,-8.2245
44,Kosovo,42.6026,20.9020
45,Romania,45.9432,24.9668
46,Serbia,44.0165,21.0059
47,Slovakia,48.6690,19.6990
48,Slovenia,46.1512,14.9955
49,Ukraine,48.3794,31.1656
50,Finland,61.9241,25.7482
51,France,46.6034,1.8883
52,Croatia,45.1,15.2
53,Montenegro,42.7087,19.3744
54,Czechia,49.8175,15.4730
55,Switzerland,46.8182,8.2275
56,Sweden,60.1282,18.6435
57,Estonia,58.5953,25.0136
58,Egypt,26.8206,30.8025
59,Israel,31.0461,34.8516
60,Canada,56.1304,-106.3468
61,Cuba,21.5218,-77.7812
62,Morocco,31.7917,-7.0926
63,Mexico,23.6345,-102.5528
64,Nigeria,9.0820,8.6753
65,New Zealand,-40.9006,174.8860
66,New Caledonia,-20.9043,165.6180
67,Senegal,14.4974,-14.4524
68,United States,37.0902,-95.7129
69,South Africa,-30.5595,22.9375
70,Argentina,-38.4161,-63.6167
71,Brazil,-14.2350,-51.9253
72,Dominican Republic,18.7357,-70.1627
73,Colombia,4.5709,-74.2973
74,Peru,-9.1900,-75.0152
75,Uruguay,-32.5228,-55.7658
76,Chile,-35.6751,-71.5430
77,Ecuador,-1.8312,-78.1834
78,Jamaica,18.1096,-77.2975
79,Belarus,53.7098,27.9534
80,Georgia,42.3154,43.3569
81,Latvia,56.8796,24.6032
82,Lithuania,55.1694,23.8813
83,Tajikistan,38.8610,71.2761
84,Uzbekistan,41.3775,64.5853